Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Income Group,TotalIncome,Risk Category
LP001002,Male,No,0,Graduate,No,5849,0,146,360,1,Urban,Approved,Medium,5849,Low Risk
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,Rejected,Medium,6091,Low Risk
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Approved,Medium,3000,Low Risk
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Approved,Low,4941,Low Risk
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Approved,Medium,6000,Low Risk
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Approved,Medium,9613,Low Risk
LP001013,Male,Yes,0,Not Graduate,o,2333,1516,95,360,1,Urban,Approved,Low,3849,Low Risk
LP001014,Male,Yes,3,Graduate,No,3036,2504,158,360,0,Semiurban,Rejected,Medium,5540,High Risk
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Approved,Medium,5532,Low Risk
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,Rejected,High,23809,Low Risk
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Approved,Medium,3900,Low Risk
LP001027,Male,Yes,2,Graduate,No,2500,1840,109,360,1,Urban,Approved,Low,4340,Low Risk
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Approved,Medium,11179,Low Risk
LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,Rejected,Low,4693,Low Risk
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Approved,Low,2385,Low Risk
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Approved,Medium,4950,Low Risk
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,1,Urban,Approved,Medium,3596,Low Risk
